puzzle_id,size,solved,correction_type,attempts,solve_time_ms
5_31,5,False,uncorrectable,2,711
5_32,5,False,uncorrectable,2,710
5_33,5,False,uncorrectable,2,710
5_34,5,True,single,3,225
5_35,5,False,uncorrectable,2,677
5_36,5,False,uncorrectable,2,698
5_37,5,True,baseline,1,188
5_38,5,True,baseline,1,185
5_39,5,False,uncorrectable,2,716
5_40,5,True,baseline,1,184
5_41,5,True,baseline,1,181
5_42,5,False,uncorrectable,2,702
5_43,5,True,single,9,289
5_44,5,False,uncorrectable,52,1043
5_45,5,False,uncorrectable,52,1035
5_46,5,False,uncorrectable,2,719
5_47,5,False,uncorrectable,2,724
5_48,5,False,uncorrectable,2,711
5_49,5,False,uncorrectable,17,793
5_50,5,True,baseline,1,203
5_51,5,True,three,236,3042
5_52,5,False,uncorrectable,352,2627
5_53,5,True,single,21,362
5_54,5,True,baseline,1,196
5_55,5,False,uncorrectable,352,2245
5_56,5,True,single,4,224
5_57,5,False,uncorrectable,2,746
5_58,5,False,uncorrectable,2,710
5_59,5,True,single,6,476
5_60,5,False,uncorrectable,2,700
5_61,5,False,uncorrectable,2,688
5_62,5,True,single,7,255
5_63,5,True,baseline,1,189
5_64,5,True,single,4,235
5_65,5,False,uncorrectable,132,1767
5_66,5,True,three,271,2708
5_67,5,True,single,6,288
5_68,5,False,uncorrectable,132,1386
5_69,5,True,single,6,239
5_70,5,False,uncorrectable,2,691
5_71,5,True,baseline,1,218
5_72,5,False,uncorrectable,2,671
5_73,5,False,uncorrectable,2,712
5_74,5,False,uncorrectable,17,790
5_75,5,False,uncorrectable,2,709
5_76,5,True,baseline,1,200
5_77,5,False,uncorrectable,2,705
5_78,5,False,uncorrectable,132,1495
5_79,5,False,uncorrectable,2,696
5_80,5,False,uncorrectable,2,705
5_81,5,False,uncorrectable,17,796
5_82,5,True,single,4,281
5_83,5,False,uncorrectable,2,687
5_84,5,True,single,3,223
5_85,5,True,two,90,627
5_86,5,True,two,83,1101
5_87,5,False,uncorrectable,152,1456
5_88,5,True,three,237,2284
5_89,5,True,baseline,1,192
5_90,5,False,uncorrectable,132,1569
5_91,5,False,uncorrectable,2,709
5_92,5,True,baseline,1,195
5_93,5,False,uncorrectable,2,695
5_94,5,False,uncorrectable,352,2615
5_95,5,False,uncorrectable,352,2337
5_96,5,False,uncorrectable,17,795
5_97,5,False,uncorrectable,17,797
5_98,5,False,uncorrectable,2,683
5_99,5,False,uncorrectable,2,698
6_0,6,False,uncorrectable,2,780
6_1,6,False,uncorrectable,2,775
6_2,6,False,uncorrectable,2,810
6_3,6,False,uncorrectable,2,802
6_4,6,False,uncorrectable,352,3682
6_5,6,False,uncorrectable,2,838
6_6,6,False,uncorrectable,2,815
6_7,6,True,three,171,2428
6_8,6,False,uncorrectable,2,827
6_9,6,False,uncorrectable,2,821
6_10,6,False,uncorrectable,352,3506
6_11,6,False,uncorrectable,2,843
6_12,6,False,uncorrectable,2,813
6_13,6,False,uncorrectable,17,952
6_14,6,True,single,6,360
6_15,6,False,uncorrectable,152,3243
6_16,6,False,uncorrectable,2,807
6_17,6,False,uncorrectable,352,3453
6_18,6,True,single,4,2034
6_19,6,False,uncorrectable,352,3735
6_20,6,False,uncorrectable,132,1941
6_21,6,False,uncorrectable,2,810
6_22,6,False,uncorrectable,2,797
6_23,6,False,uncorrectable,2,793
6_24,6,False,uncorrectable,17,960
6_25,6,False,uncorrectable,2,809
6_26,6,False,uncorrectable,152,2035
6_27,6,False,uncorrectable,17,947
6_28,6,False,uncorrectable,352,3690
6_29,6,False,uncorrectable,2,806
6_30,6,False,uncorrectable,2,795
6_31,6,False,uncorrectable,17,1060
6_32,6,True,single,3,308
6_33,6,False,uncorrectable,152,2488
6_34,6,False,uncorrectable,2,808
6_35,6,False,uncorrectable,2,792
6_36,6,False,uncorrectable,2,812
6_37,6,False,uncorrectable,2,808
6_38,6,False,uncorrectable,2,826
6_39,6,False,uncorrectable,352,4041
6_40,6,False,uncorrectable,2,842
6_41,6,False,uncorrectable,2,834
6_42,6,False,uncorrectable,277,4379
6_43,6,False,uncorrectable,2,808
6_44,6,False,uncorrectable,352,3542
6_45,6,True,two,113,1251
6_46,6,False,uncorrectable,2,828
6_47,6,False,uncorrectable,352,5353
6_48,6,False,uncorrectable,2,810
6_49,6,True,single,6,445
6_50,6,False,uncorrectable,2,791
6_51,6,False,uncorrectable,2,807
6_52,6,False,uncorrectable,17,941
6_53,6,False,uncorrectable,2,811
6_54,6,False,uncorrectable,2,831
6_55,6,False,uncorrectable,2,803
6_56,6,False,uncorrectable,352,3127
6_57,6,False,uncorrectable,277,5548
6_58,6,False,uncorrectable,2,832
6_59,6,False,uncorrectable,2,823
6_60,6,False,uncorrectable,352,3844
6_61,6,False,uncorrectable,352,3713
6_62,6,False,uncorrectable,2,820
6_63,6,True,baseline,1,250
6_64,6,False,uncorrectable,2,828
6_65,6,False,uncorrectable,352,3681
6_66,6,False,uncorrectable,2,821
6_67,6,False,uncorrectable,152,2058
6_68,6,False,uncorrectable,52,1300
6_69,6,False,uncorrectable,352,3825
6_70,6,False,uncorrectable,2,805
6_71,6,True,single,3,304
6_72,6,False,uncorrectable,2,807
6_73,6,False,uncorrectable,2,807
6_74,6,False,uncorrectable,2,813
6_75,6,False,uncorrectable,52,1176
6_76,6,True,two,85,1085
6_77,6,False,uncorrectable,2,812
6_78,6,False,uncorrectable,352,3555
6_79,6,False,uncorrectable,2,779
6_80,6,True,single,9,348
6_81,6,False,uncorrectable,2,804
6_82,6,False,uncorrectable,2,813
6_83,6,False,uncorrectable,152,1830
6_84,6,False,uncorrectable,352,3359
6_85,6,False,uncorrectable,2,870
6_86,6,False,uncorrectable,352,3470
6_87,6,True,baseline,1,1361
6_88,6,False,uncorrectable,2,808
6_89,6,False,uncorrectable,352,3481
6_90,6,True,single,12,755
6_91,6,False,uncorrectable,17,946
6_92,6,False,uncorrectable,2,818
6_93,6,True,two,55,866
6_94,6,False,uncorrectable,2,800
6_95,6,False,uncorrectable,352,3888
6_96,6,False,uncorrectable,2,817
6_97,6,True,single,6,1738
6_98,6,False,uncorrectable,2,834
6_99,6,False,uncorrectable,17,950
7_0,7,False,uncorrectable,132,2494
7_1,7,False,uncorrectable,17,1149
7_2,7,False,uncorrectable,2,961
7_3,7,False,uncorrectable,17,1121
7_4,7,False,uncorrectable,277,4394
7_5,7,False,uncorrectable,2,988
7_6,7,False,uncorrectable,2,957
7_7,7,False,uncorrectable,2,1048
7_8,7,True,two,126,2774
7_9,7,False,uncorrectable,2,942
7_10,7,False,uncorrectable,352,15943
7_11,7,False,uncorrectable,17,1131
7_12,7,False,uncorrectable,17,1087
7_13,7,False,uncorrectable,2,934
7_14,7,False,uncorrectable,17,1165
7_15,7,False,uncorrectable,2,916
7_16,7,False,uncorrectable,2,929
7_17,7,False,uncorrectable,2,953
7_18,7,False,uncorrectable,2,925
7_19,7,False,uncorrectable,2,952
7_20,7,False,uncorrectable,2,1009
7_21,7,False,uncorrectable,17,1134
7_22,7,False,uncorrectable,17,1130
7_23,7,False,uncorrectable,2,967
7_24,7,False,uncorrectable,2,908
7_25,7,False,uncorrectable,2,967
7_26,7,False,uncorrectable,152,2441
7_27,7,False,uncorrectable,2,906
7_28,7,False,uncorrectable,2,966
7_29,7,False,uncorrectable,2,974
7_30,7,False,uncorrectable,352,4449
7_31,7,True,two,65,1101
7_32,7,False,uncorrectable,17,1134
7_33,7,False,uncorrectable,152,2771
7_34,7,False,uncorrectable,277,5712
7_35,7,False,uncorrectable,132,2492
7_36,7,False,uncorrectable,352,17959
7_37,7,False,uncorrectable,152,3152
7_38,7,False,uncorrectable,132,2999
7_39,7,False,uncorrectable,152,3223
7_40,7,False,uncorrectable,2,947
7_41,7,False,uncorrectable,132,2248
7_42,7,False,uncorrectable,17,1128
7_43,7,False,uncorrectable,132,2767
7_44,7,False,uncorrectable,2,965
7_45,7,False,uncorrectable,2,953
7_46,7,False,uncorrectable,2,915
7_47,7,False,uncorrectable,17,1121
7_48,7,False,uncorrectable,152,11745
7_49,7,False,uncorrectable,132,3354
7_50,7,False,uncorrectable,2,933
7_51,7,False,uncorrectable,277,5374
7_52,7,False,uncorrectable,2,947
7_53,7,False,uncorrectable,132,2571
7_54,7,False,uncorrectable,2,919
7_55,7,False,uncorrectable,2,954
7_56,7,False,uncorrectable,2,939
7_57,7,False,uncorrectable,132,2511
7_58,7,False,uncorrectable,17,1146
7_59,7,False,uncorrectable,132,1966
7_60,7,False,uncorrectable,2,942
7_61,7,True,single,6,1488
7_62,7,False,uncorrectable,2,945
7_63,7,False,uncorrectable,272,4279
7_64,7,False,uncorrectable,352,5168
7_65,7,False,uncorrectable,2,928
7_66,7,False,uncorrectable,2,965
7_67,7,False,uncorrectable,352,4340
7_68,7,False,uncorrectable,17,1162
7_69,7,False,uncorrectable,2,1201
7_70,7,False,uncorrectable,17,1077
7_71,7,False,uncorrectable,52,1481
7_72,7,False,uncorrectable,152,2820
7_73,7,False,uncorrectable,2,922
7_74,7,False,uncorrectable,352,6261
7_75,7,False,uncorrectable,17,1107
7_76,7,False,uncorrectable,2,963
7_77,7,False,uncorrectable,2,952
7_78,7,False,uncorrectable,17,1115
7_79,7,False,uncorrectable,2,933
7_80,7,False,uncorrectable,2,941
7_81,7,False,uncorrectable,352,4415
7_82,7,True,two,66,9924
7_83,7,False,uncorrectable,17,1114
7_84,7,False,uncorrectable,152,2954
7_85,7,False,uncorrectable,152,2222
7_86,7,False,uncorrectable,2,950
7_87,7,False,uncorrectable,2,964
7_88,7,False,uncorrectable,2,950
7_89,7,False,uncorrectable,2,936
7_90,7,False,uncorrectable,2,936
7_91,7,False,uncorrectable,152,2669
7_92,7,False,uncorrectable,2,964
7_93,7,False,uncorrectable,152,2492
7_94,7,False,uncorrectable,132,2324
7_95,7,False,uncorrectable,2,935
7_96,7,False,uncorrectable,2,925
7_97,7,False,uncorrectable,2,922
7_98,7,False,uncorrectable,2,931
7_99,7,False,uncorrectable,132,2455
9_0,9,False,uncorrectable,17,1457
9_1,9,False,uncorrectable,2,1155
9_2,9,False,uncorrectable,17,1693
9_3,9,False,uncorrectable,132,6839
9_4,9,False,uncorrectable,152,3134
9_5,9,False,uncorrectable,2,1252
9_6,9,False,uncorrectable,2,1176
9_7,9,False,uncorrectable,2,1200
9_8,9,False,uncorrectable,1152,27449
9_9,9,False,uncorrectable,132,3954
9_10,9,False,uncorrectable,17,1551
9_11,9,False,uncorrectable,2,1202
9_12,9,False,uncorrectable,2,1235
9_13,9,False,uncorrectable,17,1525
9_14,9,False,uncorrectable,277,6668
9_15,9,False,uncorrectable,2,1179
9_16,9,False,uncorrectable,2,1147
9_17,9,False,uncorrectable,2,1174
9_18,9,False,uncorrectable,2,1214
9_19,9,False,uncorrectable,132,2669
9_20,9,False,uncorrectable,2,1196
9_21,9,False,uncorrectable,2,1157
9_22,9,False,uncorrectable,17,1632
9_23,9,False,uncorrectable,132,3611
9_24,9,False,uncorrectable,132,5984
9_25,9,False,uncorrectable,132,3839
9_26,9,False,uncorrectable,132,3973
9_27,9,False,uncorrectable,2,1192
9_28,9,False,uncorrectable,2,1204
9_29,9,False,uncorrectable,2,1209
9_30,9,False,uncorrectable,152,4113
9_31,9,False,uncorrectable,2,1262
9_32,9,False,uncorrectable,2,1196
9_33,9,False,uncorrectable,2,1184
9_34,9,False,uncorrectable,17,1487
9_35,9,False,uncorrectable,1152,19474
9_36,9,False,uncorrectable,152,4424
9_37,9,False,uncorrectable,152,4407
9_38,9,False,uncorrectable,608,33164
9_39,9,False,uncorrectable,2,1203
9_40,9,False,uncorrectable,17,1518
9_41,9,False,uncorrectable,152,4265
9_42,9,False,uncorrectable,608,12244
9_43,9,False,uncorrectable,17,1545
9_44,9,False,uncorrectable,2,1175
9_45,9,False,uncorrectable,17,1588
9_46,9,False,uncorrectable,132,4204
9_47,9,False,uncorrectable,2,1176
9_48,9,False,uncorrectable,2,1238
9_49,9,False,uncorrectable,2,1191
9_50,9,False,uncorrectable,2,1206
9_51,9,False,uncorrectable,2,1227
9_52,9,False,uncorrectable,132,4180
9_53,9,False,uncorrectable,2,1213
9_54,9,False,uncorrectable,277,6878
9_55,9,False,uncorrectable,17,1546
9_56,9,False,uncorrectable,272,8787
9_57,9,False,uncorrectable,2,1204
9_58,9,False,uncorrectable,1152,26846
9_59,9,False,uncorrectable,132,2851
9_60,9,False,uncorrectable,2,1192
9_61,9,False,uncorrectable,2,1169
9_62,9,False,uncorrectable,152,4889
9_63,9,False,uncorrectable,132,4825
9_64,9,False,uncorrectable,152,4173
9_65,9,False,uncorrectable,2,1208
9_66,9,False,uncorrectable,132,4403
9_67,9,False,uncorrectable,2,1204
9_68,9,False,uncorrectable,152,4234
9_69,9,False,uncorrectable,2,1186
9_70,9,False,uncorrectable,2,1282
9_71,9,False,uncorrectable,2,1214
9_72,9,False,uncorrectable,17,1584
9_73,9,False,uncorrectable,2,1165
9_74,9,False,uncorrectable,2,1209
9_75,9,False,uncorrectable,152,4286
9_76,9,False,uncorrectable,132,3287
9_77,9,False,uncorrectable,2,1239
9_78,9,False,uncorrectable,2,1187
9_79,9,False,uncorrectable,2,1190
9_80,9,False,uncorrectable,2,1185
9_81,9,False,uncorrectable,132,2983
9_82,9,False,uncorrectable,2,1209
9_83,9,False,uncorrectable,2,1219
9_84,9,False,uncorrectable,995,17290
9_85,9,False,uncorrectable,132,3706
9_86,9,False,uncorrectable,152,4363
9_87,9,False,uncorrectable,132,3537
9_88,9,False,uncorrectable,152,4091
9_89,9,False,uncorrectable,608,13498
9_90,9,False,uncorrectable,2,1207
9_91,9,False,uncorrectable,2,1163
9_92,9,False,uncorrectable,17,1494
9_93,9,False,uncorrectable,2,1291
9_94,9,False,uncorrectable,152,4227
9_95,9,False,uncorrectable,2,1120
9_96,9,False,uncorrectable,2,1199
9_97,9,False,uncorrectable,272,9650
9_98,9,False,uncorrectable,152,4302
9_99,9,False,uncorrectable,2,1167
