size,puzzle_id,baseline_solved,corrected_solved,correction_type,attempts,solve_time_ms
3,73,False,True,constraint_constraint_auto_1,3,138.0312442779541
3,74,True,True,baseline,1,127.58278846740723
3,75,False,False,uncorrectable,12,504.4689178466797
3,76,True,True,baseline,1,127.31695175170898
3,77,True,True,baseline,1,123.78096580505371
3,78,False,True,constraint_constraint_single,3,142.19117164611816
3,79,False,True,constraint_constraint_single,7,160.19678115844727
3,80,True,True,baseline,1,130.04589080810547
3,81,True,True,baseline,1,124.07588958740234
3,82,True,True,baseline,1,131.00099563598633
3,83,True,True,baseline,1,130.8310031890869
3,84,True,True,baseline,1,135.35594940185547
3,85,True,True,baseline,1,125.16188621520996
3,86,True,True,baseline,1,127.96401977539062
3,87,False,False,uncorrectable,152,750.1609325408936
3,88,True,True,baseline,1,130.42306900024414
3,89,True,True,baseline,1,126.74808502197266
3,90,False,True,constraint_constraint_auto_1,3,135.61177253723145
3,91,True,True,baseline,1,130.16223907470703
3,92,False,True,constraint_constraint_single,3,134.4778537750244
3,93,True,True,baseline,1,131.74915313720703
3,94,True,True,baseline,1,125.27179718017578
3,95,True,True,baseline,1,127.2118091583252
3,96,False,True,constraint_constraint_single,9,146.80790901184082
3,97,False,True,constraint_constraint_single,7,145.10488510131836
3,98,False,True,constraint_constraint_auto_1,3,138.9939785003662
3,99,True,True,baseline,1,137.28690147399902
4,0,False,False,uncorrectable,11,1006.4940452575684
4,1,False,False,uncorrectable,152,1478.9979457855225
4,2,False,False,uncorrectable,3,884.3581676483154
4,3,False,False,uncorrectable,177,1410.0611209869385
4,4,False,False,uncorrectable,277,1754.2879581451416
4,5,False,False,uncorrectable,52,1055.9167861938477
4,6,True,True,baseline,1,238.91186714172363
4,7,False,False,uncorrectable,3,901.7550945281982
4,8,False,True,constraint_constraint_single,4,243.71886253356934
4,9,True,True,baseline,1,230.88312149047852
4,10,False,False,uncorrectable,52,1023.0698585510254
4,11,True,True,baseline,1,227.33688354492188
4,12,False,False,uncorrectable,142,1348.7491607666016
4,13,True,True,baseline,1,227.30278968811035
4,14,True,True,baseline,1,230.16715049743652
4,15,False,False,uncorrectable,278,1579.442024230957
4,16,False,True,constraint_constraint_auto_1,3,240.0827407836914
4,17,False,True,constraint_constraint_single,7,285.4440212249756
4,18,True,True,baseline,1,227.4942398071289
4,19,False,False,uncorrectable,9,891.7629718780518
4,20,True,True,baseline,1,235.4261875152588
4,21,False,False,uncorrectable,53,1027.4019241333008
4,22,False,True,constraint_constraint_single,4,258.3270072937012
4,23,False,False,uncorrectable,609,2781.2416553497314
4,24,False,False,uncorrectable,52,1023.5450267791748
4,25,False,False,uncorrectable,11,923.6102104187012
4,26,True,True,baseline,1,233.57295989990234
4,27,False,True,constraint_constraint_single,4,241.26386642456055
4,28,False,False,uncorrectable,52,1042.436122894287
4,29,False,False,uncorrectable,3,906.96120262146
4,30,False,False,uncorrectable,152,1387.3729705810547
4,31,False,False,uncorrectable,52,1012.4258995056152
4,32,False,True,constraint_constraint_single,5,252.28118896484375
4,33,False,True,constraint_constraint_single,4,261.63601875305176
4,34,True,True,baseline,1,227.57196426391602
4,35,True,True,baseline,1,222.14603424072266
4,36,False,True,constraint_constraint_auto_1,3,237.00499534606934
4,37,True,True,baseline,1,226.30906105041504
4,38,True,True,baseline,1,241.21999740600586
4,39,False,True,constraint_constraint_single,26,374.5288848876953
4,40,False,True,constraint_constraint_auto_1,3,244.5981502532959
4,41,False,True,constraint_constraint_auto_1,3,236.7880344390869
4,42,False,True,constraint_constraint_single,3,246.8407154083252
4,43,False,False,uncorrectable,278,1588.9737606048584
4,44,False,False,uncorrectable,23,943.7530040740967
4,45,True,True,baseline,1,231.7371368408203
4,46,False,False,uncorrectable,52,1081.2551975250244
4,47,False,True,constraint_constraint_auto_1,3,237.04099655151367
4,48,False,True,constraint_constraint_single,4,245.87631225585938
4,49,False,True,constraint_constraint_single,4,243.04699897766113
4,50,False,False,uncorrectable,4,891.5479183197021
4,51,True,True,baseline,1,225.23212432861328
4,52,True,True,baseline,1,229.13527488708496
4,53,True,True,baseline,1,230.99517822265625
4,54,False,False,uncorrectable,52,1060.7342720031738
4,55,True,True,baseline,1,232.32603073120117
4,56,True,True,baseline,1,229.7351360321045
4,57,True,True,baseline,1,227.1280288696289
4,58,True,True,baseline,1,228.03306579589844
4,59,False,True,constraint_constraint_auto_1,3,240.03100395202637
4,60,True,True,baseline,1,229.37893867492676
4,61,False,False,uncorrectable,52,1105.8931350708008
4,62,False,False,uncorrectable,4,926.6259670257568
4,63,True,True,baseline,1,224.93314743041992
4,64,True,True,baseline,1,226.51100158691406
4,65,False,True,constraint_constraint_single,5,260.9999179840088
4,66,False,True,constraint_constraint_single,3,254.35686111450195
4,67,True,True,baseline,1,232.94806480407715
4,68,False,False,uncorrectable,152,1355.6430339813232
4,69,False,False,uncorrectable,277,1758.0008506774902
4,70,False,False,uncorrectable,52,1040.754795074463
4,71,True,True,baseline,1,227.34785079956055
4,72,False,False,uncorrectable,142,1316.3228034973145
4,73,False,False,uncorrectable,22,935.744047164917
4,74,False,True,constraint_constraint_single,4,252.40707397460938
4,75,True,True,baseline,1,227.83493995666504
4,76,False,False,uncorrectable,480,2504.664897918701
4,77,False,False,uncorrectable,278,1613.7230396270752
4,78,False,False,uncorrectable,4,886.6548538208008
4,79,True,True,baseline,1,226.2589931488037
4,80,True,True,baseline,1,229.04515266418457
4,81,True,True,baseline,1,226.32813453674316
4,82,False,False,uncorrectable,3,859.7381114959717
4,83,True,True,baseline,1,226.50432586669922
4,84,False,False,uncorrectable,52,1009.2780590057373
4,85,False,False,uncorrectable,52,1016.704797744751
4,86,False,False,uncorrectable,142,1395.6751823425293
4,87,True,True,baseline,1,240.52929878234863
4,88,False,False,uncorrectable,22,927.0551204681396
4,89,True,True,baseline,1,248.17395210266113
4,90,False,False,uncorrectable,52,1071.2289810180664
4,91,True,True,baseline,1,227.33378410339355
4,92,True,True,baseline,1,225.45814514160156
4,93,True,True,baseline,1,223.14214706420898
4,94,False,True,constraint_constraint_auto_1,3,252.64382362365723
4,95,False,False,uncorrectable,122,1260.3957653045654
4,96,False,True,constraint_constraint_single,4,243.0720329284668
4,97,False,True,constraint_constraint_two,53,382.82227516174316
4,98,True,True,baseline,1,226.90820693969727
4,99,False,False,uncorrectable,152,1218.7778949737549
5,0,False,False,uncorrectable,277,2917.5570011138916
5,1,False,True,constraint_constraint_auto_1,3,373.85010719299316
5,2,False,False,uncorrectable,277,2746.3531494140625
5,3,False,False,uncorrectable,277,2806.4801692962646
5,4,False,False,uncorrectable,1353,7497.016906738281
5,5,False,False,uncorrectable,608,4962.369918823242
5,6,True,True,baseline,1,372.2696304321289
5,7,False,True,constraint_constraint_auto_1,3,376.1920928955078
5,8,False,False,uncorrectable,996,6783.618927001953
5,9,True,True,baseline,1,364.3460273742676
5,10,False,True,constraint_constraint_auto_1,3,382.296085357666
5,11,False,False,uncorrectable,608,4681.542873382568
5,12,False,False,uncorrectable,1353,9208.998918533325
5,13,False,False,uncorrectable,1352,8598.230123519897
5,14,False,False,uncorrectable,608,4920.028924942017
5,15,False,False,uncorrectable,995,6228.8877964019775
5,16,False,False,uncorrectable,1352,6994.440793991089
5,17,False,False,uncorrectable,608,4857.519149780273
5,18,False,False,uncorrectable,52,1633.3568096160889
5,19,False,False,uncorrectable,1352,8605.21388053894
5,20,False,False,uncorrectable,152,2134.739875793457
5,21,False,False,uncorrectable,277,2787.248134613037
5,22,False,False,uncorrectable,609,4159.5118045806885
5,23,True,True,baseline,1,357.3110103607178
5,24,False,False,uncorrectable,995,6170.785903930664
5,25,False,False,uncorrectable,608,5824.649095535278
5,26,False,False,uncorrectable,609,4965.423107147217
5,27,False,True,constraint_constraint_single,3,413.55109214782715
5,28,True,True,baseline,1,354.1910648345947
5,29,False,False,uncorrectable,153,2309.222936630249
5,30,False,False,uncorrectable,1352,8064.785003662109
5,31,False,False,uncorrectable,1352,8273.927927017212
5,32,False,False,uncorrectable,278,2686.404228210449
5,33,False,False,uncorrectable,608,4790.848970413208
5,34,False,False,uncorrectable,995,7203.6497592926025
5,35,False,True,constraint_constraint_single,21,500.2291202545166
5,36,False,False,uncorrectable,996,7010.3700160980225
5,37,True,True,baseline,1,358.00719261169434
5,38,True,True,baseline,1,357.5780391693115
5,39,False,False,uncorrectable,995,6449.695110321045
5,40,True,True,baseline,1,364.6049499511719
5,41,True,True,baseline,1,350.9068489074707
5,42,False,False,uncorrectable,152,2219.372034072876
5,43,False,False,uncorrectable,608,4600.27003288269
5,44,False,False,uncorrectable,608,5289.032936096191
5,45,False,False,uncorrectable,995,7189.117908477783
5,46,False,False,uncorrectable,995,6951.209306716919
5,47,False,False,uncorrectable,608,4758.890867233276
5,48,False,False,uncorrectable,1353,8434.034824371338
5,49,False,False,uncorrectable,278,2832.3569297790527
5,50,True,True,baseline,1,355.9088706970215
5,51,False,False,uncorrectable,152,2113.32368850708
5,52,False,False,uncorrectable,608,4016.361951828003
5,53,False,False,uncorrectable,152,2184.208869934082
5,54,True,True,baseline,1,353.7890911102295
5,55,False,False,uncorrectable,608,4477.144718170166
5,56,False,True,constraint_constraint_single,6,404.6151638031006
5,57,False,False,uncorrectable,609,4722.951889038086
5,58,False,False,uncorrectable,277,2649.4388580322266
5,59,False,False,uncorrectable,1352,8255.344152450562
5,60,False,False,uncorrectable,609,4345.64471244812
5,61,False,False,uncorrectable,608,4599.6668338775635
5,62,False,False,uncorrectable,278,2890.9997940063477
5,63,True,True,baseline,1,362.9429340362549
5,64,True,True,baseline,1,358.3099842071533
5,65,False,False,uncorrectable,277,2866.478204727173
5,66,False,False,uncorrectable,609,5391.400337219238
5,67,False,True,constraint_constraint_two,113,936.0561370849609
5,68,False,False,uncorrectable,152,2217.0469760894775
5,69,True,True,baseline,1,353.8401126861572
5,70,False,False,uncorrectable,609,4278.805732727051
5,71,True,True,baseline,1,356.6322326660156
5,72,True,True,baseline,1,368.16883087158203
5,73,False,False,uncorrectable,608,4493.952989578247
5,74,False,False,uncorrectable,609,4815.601825714111
5,75,False,False,uncorrectable,609,3905.0838947296143
5,76,False,False,uncorrectable,608,5035.471200942993
5,77,False,False,uncorrectable,608,5095.592260360718
5,78,False,False,uncorrectable,609,3909.7421169281006
5,79,False,False,uncorrectable,277,2731.627941131592
5,80,False,False,uncorrectable,608,4440.531015396118
5,81,False,False,uncorrectable,608,4133.4028244018555
5,82,False,False,uncorrectable,608,5121.011972427368
5,83,False,False,uncorrectable,277,2486.9070053100586
5,84,True,True,baseline,1,365.50092697143555
5,85,False,False,uncorrectable,609,4083.158016204834
5,86,True,True,baseline,1,371.89579010009766
5,87,False,False,uncorrectable,995,6974.52187538147
5,88,False,False,uncorrectable,608,4798.224210739136
5,89,False,True,constraint_constraint_single,20,516.484260559082
5,90,False,False,uncorrectable,608,5005.788087844849
5,91,False,False,uncorrectable,277,2955.1539421081543
5,92,False,False,uncorrectable,1352,8659.450054168701
5,93,True,True,baseline,1,378.8018226623535
5,94,False,False,uncorrectable,608,4467.031717300415
5,95,False,False,uncorrectable,608,4348.519086837769
5,96,False,False,uncorrectable,996,5419.405698776245
5,97,False,False,uncorrectable,995,6023.461103439331
5,98,False,False,uncorrectable,609,4266.366004943848
5,99,False,False,uncorrectable,608,4581.216812133789
6,0,False,False,uncorrectable,1546,12628.650903701782
6,1,False,False,uncorrectable,4103,26914.33072090149
6,2,False,False,uncorrectable,4102,35752.65312194824
6,3,False,False,uncorrectable,4102,28946.553230285645
6,4,False,False,uncorrectable,4102,43201.992988586426
6,5,False,False,uncorrectable,4102,39366.42003059387
6,6,False,False,uncorrectable,4102,31523.871898651123
6,7,False,True,constraint_constraint_single,3,590.5210971832275
6,8,False,False,uncorrectable,1545,13181.541204452515
6,9,False,True,constraint_constraint_auto_1,3,558.9020252227783
6,10,False,False,uncorrectable,4103,35555.89008331299
6,11,False,False,uncorrectable,2831,25264.64605331421
6,12,False,False,uncorrectable,4102,36319.33808326721
6,13,False,False,uncorrectable,4103,31069.00405883789
6,14,False,True,constraint_constraint_auto_1,3,618.1321144104004
6,15,False,False,uncorrectable,4102,36893.474102020264
6,16,False,False,uncorrectable,1546,11018.95022392273
6,17,False,False,uncorrectable,2832,24660.04180908203
6,18,False,True,constraint_constraint_single,3,909.3499183654785
6,19,False,False,uncorrectable,4102,34637.66622543335
6,20,False,False,uncorrectable,4102,39055.283069610596
6,21,True,True,baseline,1,558.3000183105469
6,22,False,False,uncorrectable,4103,33275.66385269165
6,23,False,False,uncorrectable,2832,19806.628704071045
6,24,False,False,uncorrectable,4103,33418.832778930664
6,25,True,True,baseline,1,518.1388854980469
6,26,False,False,uncorrectable,4102,30336.35401725769
6,27,False,False,uncorrectable,4102,30965.12007713318
6,28,False,False,uncorrectable,4102,32851.98783874512
6,29,False,False,uncorrectable,1545,10735.776901245117
6,30,False,False,uncorrectable,102,2979.5730113983154
6,31,False,False,uncorrectable,2831,18812.22105026245
6,32,False,False,uncorrectable,2831,23197.183847427368
6,33,False,False,uncorrectable,4103,26171.247243881226
6,34,False,False,uncorrectable,4103,32070.544958114624
6,35,False,True,constraint_constraint_single,76,1835.8657360076904
6,36,False,False,uncorrectable,1545,15040.921211242676
6,37,False,False,uncorrectable,2832,21235.48197746277
6,38,False,False,uncorrectable,4102,38970.69215774536
6,39,False,False,uncorrectable,4103,37826.22480392456
6,40,False,False,uncorrectable,4102,33462.6681804657
6,41,False,False,uncorrectable,2831,25043.220043182373
6,42,False,False,uncorrectable,4102,28334.999084472656
6,43,True,True,baseline,1,538.4881496429443
6,44,False,False,uncorrectable,2832,23136.647939682007
6,45,False,False,uncorrectable,4102,40602.859020233154
6,46,False,False,uncorrectable,1545,14299.189805984497
6,47,False,False,uncorrectable,4103,29965.190887451172
6,48,False,False,uncorrectable,4102,28419.180870056152
6,49,False,False,uncorrectable,2832,930960.5281352997
6,50,False,False,uncorrectable,2832,175453.93991470337
6,51,False,False,uncorrectable,4102,34659.42311286926
6,52,False,False,uncorrectable,4102,33885.23197174072
6,53,False,False,uncorrectable,4103,34389.79697227478
6,54,False,False,uncorrectable,2831,25554.55994606018
6,55,False,False,uncorrectable,2832,28804.754972457886
6,56,False,False,uncorrectable,1546,13424.624919891357
6,57,False,False,uncorrectable,2831,28483.721017837524
6,58,False,False,uncorrectable,4102,38127.922773361206
6,59,False,False,uncorrectable,4102,36377.18391418457
6,60,False,False,uncorrectable,4102,28494.266748428345
6,61,False,False,uncorrectable,4102,34258.278131484985
6,62,False,False,uncorrectable,4102,43058.961153030396
6,63,True,True,baseline,1,577.0871639251709
6,64,False,False,uncorrectable,958,10150.321006774902
6,65,True,True,baseline,1,530.8537483215332
6,66,False,False,uncorrectable,4102,26884.167194366455
6,67,False,False,uncorrectable,4102,30415.498971939087
6,68,False,False,uncorrectable,4102,38345.186710357666
6,69,False,False,uncorrectable,2831,26290.796041488647
6,70,False,False,uncorrectable,4102,32091.795921325684
6,71,False,True,constraint_constraint_auto_1,3,572.481632232666
6,72,False,False,uncorrectable,2832,21720.328092575073
6,73,False,False,uncorrectable,4102,32481.553077697754
6,74,False,False,uncorrectable,4103,27639.739990234375
6,75,False,False,uncorrectable,2831,23583.001852035522
6,76,False,False,uncorrectable,4102,42908.64396095276
6,77,False,False,uncorrectable,4102,28801.91421508789
6,78,False,False,uncorrectable,4103,30646.10719680786
6,79,False,False,uncorrectable,4102,23549.129009246826
6,80,False,False,uncorrectable,4102,27508.8472366333
6,81,False,False,uncorrectable,4103,32007.41696357727
6,82,False,False,uncorrectable,2831,23544.206857681274
6,83,False,False,uncorrectable,4103,38862.354040145874
6,84,False,False,uncorrectable,2831,20281.742811203003
6,85,True,True,baseline,1,559.0169429779053
6,86,False,True,constraint_constraint_single,5,951.3092041015625
6,87,True,True,baseline,1,536.1979007720947
6,88,False,False,uncorrectable,646,6408.364057540894
6,89,False,False,uncorrectable,2832,27616.75977706909
6,90,False,False,uncorrectable,4103,43423.129081726074
6,91,False,True,constraint_constraint_single,37,1123.7750053405762
6,92,False,False,uncorrectable,2832,26632.728815078735
6,93,False,False,uncorrectable,1546,13482.951879501343
6,94,False,False,uncorrectable,4102,31862.767934799194
6,95,False,False,uncorrectable,2831,18813.092947006226
6,96,False,False,uncorrectable,2832,23889.98293876648
6,97,False,False,uncorrectable,4102,30326.47395133972
6,98,False,False,uncorrectable,4102,33615.520000457764
6,99,False,False,uncorrectable,4102,32690.362215042114
7,0,False,False,uncorrectable,6102,71046.22983932495
7,1,False,False,uncorrectable,6102,73492.81001091003
7,2,False,False,uncorrectable,6103,63349.38025474548
7,3,False,False,uncorrectable,6102,78905.74884414673
7,4,False,False,uncorrectable,6102,47178.80392074585
7,5,False,False,uncorrectable,6102,74960.72673797607
7,6,False,False,uncorrectable,6102,71586.1291885376
7,7,False,False,uncorrectable,6102,65937.96992301941
7,8,False,False,uncorrectable,6103,64157.53507614136
7,9,False,False,uncorrectable,4231,40916.97597503662
7,10,False,False,uncorrectable,6103,73406.52585029602
7,11,False,False,uncorrectable,6103,60980.019092559814
7,12,False,False,uncorrectable,6103,55830.59811592102
7,13,False,False,uncorrectable,6102,56227.64587402344
7,14,False,False,uncorrectable,5126,48937.23201751709
7,15,False,False,uncorrectable,6102,52308.73417854309
7,16,False,False,uncorrectable,6102,53829.482555389404
7,17,False,False,uncorrectable,6102,76122.67279624939
7,18,False,False,uncorrectable,6103,499558.5868358612
7,19,False,False,uncorrectable,6102,1223928.2248020172
7,20,False,False,uncorrectable,6103,54475.57711601257
7,21,False,False,uncorrectable,6102,64080.24716377258
7,22,False,False,uncorrectable,6102,63275.612115859985
7,23,False,False,uncorrectable,6103,59749.53293800354
7,24,False,False,uncorrectable,6102,65555.98592758179
7,25,False,False,uncorrectable,6102,68113.40618133545
7,26,False,False,uncorrectable,6102,63724.364042282104
7,27,False,False,uncorrectable,6102,46576.706886291504
7,28,False,False,uncorrectable,6102,58852.58078575134
7,29,False,False,uncorrectable,6102,68076.19094848633
7,30,False,False,uncorrectable,6102,92731.29510879517
7,31,False,False,uncorrectable,6103,57891.897201538086
7,32,False,False,uncorrectable,6102,54305.34386634827
7,33,False,False,uncorrectable,6103,71502.97713279724
7,34,False,False,uncorrectable,6102,61805.17601966858
7,35,False,False,uncorrectable,6103,85281.98885917664
7,36,False,False,uncorrectable,6102,72361.84811592102
7,37,False,False,uncorrectable,6103,79456.10976219177
7,38,False,False,uncorrectable,6103,59425.34780502319
7,39,False,False,uncorrectable,6102,67952.74591445923
7,40,False,False,uncorrectable,6102,74829.55002784729
7,41,False,True,constraint_constraint_single,75,1671.5819835662842
7,42,False,False,uncorrectable,6103,62803.90501022339
7,43,False,False,uncorrectable,6102,55541.43309593201
7,44,False,False,uncorrectable,6103,56476.06611251831
7,45,False,False,uncorrectable,6102,75232.27190971375
7,46,False,False,uncorrectable,6102,49770.45392990112
7,47,False,False,uncorrectable,6102,75886.20686531067
7,48,False,False,uncorrectable,6103,65769.15907859802
7,49,False,False,uncorrectable,6103,84071.15292549133
7,50,False,False,uncorrectable,6102,53271.7559337616
7,51,False,False,uncorrectable,6102,59528.679847717285
7,52,False,False,uncorrectable,6102,73058.93301963806
7,53,False,False,uncorrectable,6103,54874.17006492615
7,54,False,False,uncorrectable,6102,49536.46278381348
7,55,False,False,uncorrectable,6102,60317.21496582031
7,56,False,False,uncorrectable,6103,55121.44994735718
7,57,False,False,uncorrectable,6102,65661.66806221008
7,58,False,False,uncorrectable,6103,59216.60614013672
7,59,False,False,uncorrectable,6103,70492.9690361023
7,60,False,False,uncorrectable,6102,59638.78273963928
7,61,False,False,uncorrectable,6103,63877.71010398865
7,62,False,False,uncorrectable,6103,73594.63000297546
7,63,False,False,uncorrectable,6103,76630.61690330505
7,64,False,False,uncorrectable,6102,73403.56302261353
7,65,False,False,uncorrectable,6102,60517.68231391907
7,66,False,False,uncorrectable,6102,58321.58184051514
7,67,False,False,uncorrectable,6102,60190.37222862244
7,68,False,False,uncorrectable,6102,57171.642780303955
7,69,False,False,uncorrectable,6103,60790.10605812073
7,70,False,False,uncorrectable,6103,65809.22508239746
7,71,False,False,uncorrectable,5126,48945.611000061035
7,72,False,False,uncorrectable,6103,64352.95581817627
7,73,False,False,uncorrectable,6103,50471.59695625305
7,74,False,False,uncorrectable,6102,69203.3839225769
7,75,False,False,uncorrectable,6103,75136.63721084595
7,76,False,False,uncorrectable,6102,64164.79825973511
7,77,False,False,uncorrectable,6102,72628.67093086243
7,78,False,False,uncorrectable,6102,75160.38608551025
7,79,False,False,uncorrectable,6102,65326.438903808594
7,80,False,False,uncorrectable,6102,73813.07530403137
7,81,False,False,uncorrectable,6103,54119.242906570435
7,82,False,False,uncorrectable,6103,131376.9187927246
7,83,False,False,uncorrectable,6102,79737.26320266724
7,84,False,False,uncorrectable,6103,69211.43007278442
7,85,False,False,uncorrectable,6102,73262.35795021057
7,86,False,False,uncorrectable,6102,60678.13730239868
7,87,False,False,uncorrectable,6103,74917.41681098938
7,88,False,False,uncorrectable,6103,52600.17704963684
7,89,False,False,uncorrectable,6102,64748.77905845642
7,90,True,True,baseline,1,770.4551219940186
7,91,False,False,uncorrectable,5127,59522.047996520996
7,92,False,False,uncorrectable,6103,63968.91808509827
7,93,False,False,uncorrectable,6103,66229.22492027283
7,94,False,False,uncorrectable,6103,62703.23395729065
7,95,False,False,uncorrectable,6102,67626.57189369202
7,96,False,False,uncorrectable,6102,114181.88428878784
7,97,False,False,uncorrectable,4231,39377.03490257263
7,98,False,False,uncorrectable,6102,58220.96824645996
7,99,False,False,uncorrectable,6103,52891.78395271301
9,0,False,False,uncorrectable,9902,193911.45133972168
9,1,False,False,uncorrectable,9903,134208.96196365356
9,2,False,False,uncorrectable,9903,190505.20396232605
9,3,False,False,uncorrectable,9903,199468.84512901306
9,4,False,False,uncorrectable,9903,123324.0430355072
9,5,False,False,uncorrectable,9902,184670.31717300415
9,6,False,False,uncorrectable,9903,224211.32588386536
9,7,False,False,uncorrectable,9903,160305.02128601074
9,8,False,False,uncorrectable,9902,151639.12510871887
9,9,False,False,uncorrectable,9903,207280.06601333618
9,10,False,False,uncorrectable,9902,167845.75176239014
9,11,False,False,uncorrectable,9903,213925.13585090637
9,12,False,False,uncorrectable,9903,169409.31487083435
9,13,False,False,uncorrectable,9903,180589.7181034088
9,14,False,False,uncorrectable,9903,184265.40398597717
9,15,False,False,uncorrectable,9903,140233.13117027283
9,16,False,False,uncorrectable,9902,136513.61775398254
9,17,False,False,uncorrectable,9902,146160.05301475525
9,18,False,False,uncorrectable,9902,180094.67315673828
9,19,False,False,uncorrectable,9903,117920.84097862244
9,20,False,False,uncorrectable,9902,215459.6529006958
9,21,False,False,uncorrectable,9903,152058.68220329285
9,22,False,False,uncorrectable,9903,173802.88100242615
9,23,False,False,uncorrectable,9903,143094.3009853363
9,24,False,False,uncorrectable,9903,135292.7689552307
9,25,False,False,uncorrectable,9903,144965.77715873718
9,26,False,False,uncorrectable,9903,250048.20895195007
9,27,False,False,uncorrectable,9903,207169.1219806671
9,28,False,False,uncorrectable,9903,162145.98989486694
9,29,False,False,uncorrectable,9903,121487.44916915894
9,30,False,False,uncorrectable,9903,194493.0100440979
9,31,False,False,uncorrectable,9903,195278.73730659485
9,32,False,False,uncorrectable,9902,222067.9841041565
9,33,False,False,uncorrectable,9903,152981.50491714478
9,34,False,False,uncorrectable,9902,200181.66303634644
9,35,False,False,uncorrectable,9902,190342.38004684448
9,36,False,False,uncorrectable,9903,205677.21223831177
9,37,False,False,uncorrectable,9903,194728.56402397156
9,38,False,False,uncorrectable,9902,207812.33882904053
9,39,False,True,constraint_constraint_three,615,17561.555862426758
9,40,False,False,uncorrectable,9903,138256.43277168274
9,41,False,False,uncorrectable,9903,146332.15713500977
9,42,False,False,uncorrectable,9902,159241.23907089233
9,43,False,False,uncorrectable,9902,140774.06001091003
9,44,False,False,uncorrectable,9902,130194.52118873596
9,45,False,False,uncorrectable,9903,193201.23291015625
9,46,False,False,uncorrectable,9902,133908.19597244263
9,47,False,False,uncorrectable,9903,136477.98109054565
9,48,False,False,uncorrectable,9902,188792.1359539032
9,49,False,False,uncorrectable,9903,170166.34225845337
9,50,False,False,uncorrectable,9903,196428.7450313568
