puzzle_idx,final_status,position,cnn_prediction,cnn_confidence,true_value,true_digit_rank,true_digit_prob,confusion_type,cell_type,digit_errors
4,uncorrectable,"(10, 10)",1,0.9141309857368469,6,3,0.015328716486692429,6->1,single,None
5,single,"(2, 0)",2,0.7199141383171082,8,2,0.27992182970046997,8->2,single,None
5,single,"(3, 4)",70,0.9963738024234772,10,2,0.004705382045358419,10->70 (tens: 1->7),double,"{'type': 'tens', 'tens': {'predicted': 7, 'true': 1, 'rank': 2, 'wrong': True}, 'ones': {'predicted': 0, 'true': 0, 'rank': 1, 'wrong': False}}"
5,single,"(6, 4)",2,0.7879383265972137,12,2,0.3799899220466614,12->2 (tens: 1->0),double,"{'type': 'tens', 'tens': {'predicted': 0, 'true': 1, 'rank': 2, 'wrong': True}, 'ones': {'predicted': 2, 'true': 2, 'rank': 1, 'wrong': False}}"
7,uncorrectable,"(0, 12)",76,0.9781418144702911,16,2,0.00968034379184246,16->76 (tens: 1->7),double,"{'type': 'tens', 'tens': {'predicted': 7, 'true': 1, 'rank': 2, 'wrong': True}, 'ones': {'predicted': 6, 'true': 6, 'rank': 1, 'wrong': False}}"
7,uncorrectable,"(6, 13)",53,0.7787594199180603,5,9,3.414322072044735e-21,5->53 (both digits),double,"{'type': 'both', 'tens': {'predicted': 5, 'true': 0, 'rank': 9, 'wrong': True}, 'ones': {'predicted': 3, 'true': 5, 'rank': 2, 'wrong': True}}"
8,none,"(1, 1)",75,0.8625792264938354,15,2,0.25391876697540283,15->75 (tens: 1->7),double,"{'type': 'tens', 'tens': {'predicted': 7, 'true': 1, 'rank': 2, 'wrong': True}, 'ones': {'predicted': 5, 'true': 5, 'rank': 1, 'wrong': False}}"
8,none,"(6, 11)",1,0.8212918639183044,11,5,0.02018873393535614,11->1 (tens: 1->0),double,"{'type': 'tens', 'tens': {'predicted': 0, 'true': 1, 'rank': 5, 'wrong': True}, 'ones': {'predicted': 1, 'true': 1, 'rank': 1, 'wrong': False}}"
8,none,"(14, 12)",76,0.7565293908119202,16,2,0.30917301774024963,16->76 (tens: 1->7),double,"{'type': 'tens', 'tens': {'predicted': 7, 'true': 1, 'rank': 2, 'wrong': True}, 'ones': {'predicted': 6, 'true': 6, 'rank': 1, 'wrong': False}}"
9,uncorrectable,"(0, 13)",57,1.0,7,9,1.2144415014380372e-19,7->57 (tens: 0->5),double,"{'type': 'tens', 'tens': {'predicted': 5, 'true': 0, 'rank': 9, 'wrong': True}, 'ones': {'predicted': 7, 'true': 7, 'rank': 1, 'wrong': False}}"
9,uncorrectable,"(7, 8)",45,0.8878206610679626,6,7,3.948164711831126e-11,6->45 (both digits),double,"{'type': 'both', 'tens': {'predicted': 4, 'true': 0, 'rank': 7, 'wrong': True}, 'ones': {'predicted': 5, 'true': 6, 'rank': 5, 'wrong': True}}"
9,uncorrectable,"(8, 0)",13,0.7732423841953278,12,2,0.45204511284828186,12->13 (ones: 2->3),double,"{'type': 'ones', 'tens': {'predicted': 1, 'true': 1, 'rank': 1, 'wrong': False}, 'ones': {'predicted': 3, 'true': 2, 'rank': 2, 'wrong': True}}"
9,uncorrectable,"(11, 3)",7,0.8732296228408813,11,12,0.0,11->7,single,None
10,single,"(5, 7)",5,0.9422580599784851,8,2,0.05107676982879639,8->5,single,None
10,single,"(13, 7)",22,0.6901803612709045,12,3,0.25274673104286194,12->22 (tens: 1->2),double,"{'type': 'tens', 'tens': {'predicted': 2, 'true': 1, 'rank': 3, 'wrong': True}, 'ones': {'predicted': 2, 'true': 2, 'rank': 1, 'wrong': False}}"
11,none,"(9, 13)",74,0.9999175071716309,14,2,0.00014206941705197096,14->74 (tens: 1->7),double,"{'type': 'tens', 'tens': {'predicted': 7, 'true': 1, 'rank': 2, 'wrong': True}, 'ones': {'predicted': 4, 'true': 4, 'rank': 1, 'wrong': False}}"
12,none,"(2, 10)",76,0.718997597694397,16,2,0.4124326705932617,16->76 (tens: 1->7),double,"{'type': 'tens', 'tens': {'predicted': 7, 'true': 1, 'rank': 2, 'wrong': True}, 'ones': {'predicted': 6, 'true': 6, 'rank': 1, 'wrong': False}}"
12,none,"(5, 1)",70,0.7189980745315552,10,2,0.4124326705932617,10->70 (tens: 1->7),double,"{'type': 'tens', 'tens': {'predicted': 7, 'true': 1, 'rank': 2, 'wrong': True}, 'ones': {'predicted': 0, 'true': 0, 'rank': 1, 'wrong': False}}"
12,none,"(7, 5)",75,0.8625792264938354,15,2,0.25391876697540283,15->75 (tens: 1->7),double,"{'type': 'tens', 'tens': {'predicted': 7, 'true': 1, 'rank': 2, 'wrong': True}, 'ones': {'predicted': 5, 'true': 5, 'rank': 1, 'wrong': False}}"
12,none,"(10, 2)",76,0.8774834275245667,16,2,0.23144501447677612,16->76 (tens: 1->7),double,"{'type': 'tens', 'tens': {'predicted': 7, 'true': 1, 'rank': 2, 'wrong': True}, 'ones': {'predicted': 6, 'true': 6, 'rank': 1, 'wrong': False}}"
13,none,"(1, 4)",72,0.8774834275245667,12,2,0.23144501447677612,12->72 (tens: 1->7),double,"{'type': 'tens', 'tens': {'predicted': 7, 'true': 1, 'rank': 2, 'wrong': True}, 'ones': {'predicted': 2, 'true': 2, 'rank': 1, 'wrong': False}}"
13,none,"(7, 1)",12,0.9626122117042542,11,2,0.07437329739332199,11->12 (ones: 1->2),double,"{'type': 'ones', 'tens': {'predicted': 1, 'true': 1, 'rank': 1, 'wrong': False}, 'ones': {'predicted': 2, 'true': 1, 'rank': 2, 'wrong': True}}"
13,none,"(8, 6)",71,0.8774834275245667,11,2,0.23144501447677612,11->71 (tens: 1->7),double,"{'type': 'tens', 'tens': {'predicted': 7, 'true': 1, 'rank': 2, 'wrong': True}, 'ones': {'predicted': 1, 'true': 1, 'rank': 1, 'wrong': False}}"
13,none,"(8, 10)",73,0.9966671466827393,13,4,0.0008627657662145793,13->73 (tens: 1->7),double,"{'type': 'tens', 'tens': {'predicted': 7, 'true': 1, 'rank': 4, 'wrong': True}, 'ones': {'predicted': 3, 'true': 3, 'rank': 1, 'wrong': False}}"
13,none,"(9, 15)",3,0.7879399955272675,13,2,0.3799899220466614,13->3 (tens: 1->0),double,"{'type': 'tens', 'tens': {'predicted': 0, 'true': 1, 'rank': 2, 'wrong': True}, 'ones': {'predicted': 3, 'true': 3, 'rank': 1, 'wrong': False}}"
14,single,"(3, 10)",17,0.719833642244339,11,2,0.3325764834880829,11->17 (ones: 1->7),double,"{'type': 'ones', 'tens': {'predicted': 1, 'true': 1, 'rank': 1, 'wrong': False}, 'ones': {'predicted': 7, 'true': 1, 'rank': 2, 'wrong': True}}"
14,single,"(4, 15)",0,0.8763824105262756,2,2,0.11245419830083847,2->0,single,None
15,uncorrectable,"(11, 13)",10,0.9183046519756317,6,10,8.376368954737031e-15,6->10 (both digits),double,"{'type': 'both', 'tens': {'predicted': 1, 'true': 0, 'rank': 5, 'wrong': True}, 'ones': {'predicted': 0, 'true': 6, 'rank': 10, 'wrong': True}}"
16,uncorrectable,"(2, 2)",70,0.7952993810176849,10,2,0.4047260582447052,10->70 (tens: 1->7),double,"{'type': 'tens', 'tens': {'predicted': 7, 'true': 1, 'rank': 2, 'wrong': True}, 'ones': {'predicted': 0, 'true': 0, 'rank': 1, 'wrong': False}}"
16,uncorrectable,"(3, 7)",12,0.9459729790687561,16,7,2.1603005734505132e-05,16->12 (ones: 6->2),double,"{'type': 'ones', 'tens': {'predicted': 1, 'true': 1, 'rank': 1, 'wrong': False}, 'ones': {'predicted': 2, 'true': 6, 'rank': 7, 'wrong': True}}"
16,uncorrectable,"(8, 15)",3,0.9453032314777374,13,2,0.07794619351625443,13->3 (tens: 1->0),double,"{'type': 'tens', 'tens': {'predicted': 0, 'true': 1, 'rank': 2, 'wrong': True}, 'ones': {'predicted': 3, 'true': 3, 'rank': 1, 'wrong': False}}"
17,none,"(5, 15)",18,0.8251893222332001,14,2,0.34954947233200073,14->18 (ones: 4->8),double,"{'type': 'ones', 'tens': {'predicted': 1, 'true': 1, 'rank': 1, 'wrong': False}, 'ones': {'predicted': 8, 'true': 4, 'rank': 2, 'wrong': True}}"
18,uncorrectable,"(2, 11)",14,0.8895790874958038,16,2,0.18199507892131805,16->14 (ones: 6->4),double,"{'type': 'ones', 'tens': {'predicted': 1, 'true': 1, 'rank': 1, 'wrong': False}, 'ones': {'predicted': 4, 'true': 6, 'rank': 2, 'wrong': True}}"
18,uncorrectable,"(9, 0)",5,0.9422580599784851,8,2,0.05107676982879639,8->5,single,None
18,uncorrectable,"(9, 13)",13,0.85526043176651,12,2,0.28947851061820984,12->13 (ones: 2->3),double,"{'type': 'ones', 'tens': {'predicted': 1, 'true': 1, 'rank': 1, 'wrong': False}, 'ones': {'predicted': 3, 'true': 2, 'rank': 2, 'wrong': True}}"
18,uncorrectable,"(11, 2)",71,0.7561944723129272,11,2,0.30917301774024963,11->71 (tens: 1->7),double,"{'type': 'tens', 'tens': {'predicted': 7, 'true': 1, 'rank': 2, 'wrong': True}, 'ones': {'predicted': 1, 'true': 1, 'rank': 1, 'wrong': False}}"
18,uncorrectable,"(12, 13)",74,0.8130275905132294,14,2,0.37129396200180054,14->74 (tens: 1->7),double,"{'type': 'tens', 'tens': {'predicted': 7, 'true': 1, 'rank': 2, 'wrong': True}, 'ones': {'predicted': 4, 'true': 4, 'rank': 1, 'wrong': False}}"
18,uncorrectable,"(14, 6)",2,0.9888719916343689,3,2,0.011127181351184845,3->2,single,None
19,none,"(0, 8)",76,0.9963738024234772,16,2,0.004705382045358419,16->76 (tens: 1->7),double,"{'type': 'tens', 'tens': {'predicted': 7, 'true': 1, 'rank': 2, 'wrong': True}, 'ones': {'predicted': 6, 'true': 6, 'rank': 1, 'wrong': False}}"
19,none,"(15, 11)",91,0.7491613179445267,11,3,0.022383537143468857,11->91 (tens: 1->9),double,"{'type': 'tens', 'tens': {'predicted': 9, 'true': 1, 'rank': 3, 'wrong': True}, 'ones': {'predicted': 1, 'true': 1, 'rank': 1, 'wrong': False}}"
20,none,"(0, 14)",75,0.7189803123474121,15,2,0.4124326705932617,15->75 (tens: 1->7),double,"{'type': 'tens', 'tens': {'predicted': 7, 'true': 1, 'rank': 2, 'wrong': True}, 'ones': {'predicted': 5, 'true': 5, 'rank': 1, 'wrong': False}}"
20,none,"(1, 7)",19,0.8846689462661743,15,2,0.15637488663196564,15->19 (ones: 5->9),double,"{'type': 'ones', 'tens': {'predicted': 1, 'true': 1, 'rank': 1, 'wrong': False}, 'ones': {'predicted': 9, 'true': 5, 'rank': 2, 'wrong': True}}"
21,none,"(15, 12)",24,0.6902084350585938,14,3,0.25274673104286194,14->24 (tens: 1->2),double,"{'type': 'tens', 'tens': {'predicted': 2, 'true': 1, 'rank': 3, 'wrong': True}, 'ones': {'predicted': 4, 'true': 4, 'rank': 1, 'wrong': False}}"
22,uncorrectable,"(0, 9)",72,0.9999171495437622,12,2,0.00014206941705197096,12->72 (tens: 1->7),double,"{'type': 'tens', 'tens': {'predicted': 7, 'true': 1, 'rank': 2, 'wrong': True}, 'ones': {'predicted': 2, 'true': 2, 'rank': 1, 'wrong': False}}"
22,uncorrectable,"(4, 9)",70,0.8586066961288452,10,2,0.25391876697540283,10->70 (tens: 1->7),double,"{'type': 'tens', 'tens': {'predicted': 7, 'true': 1, 'rank': 2, 'wrong': True}, 'ones': {'predicted': 0, 'true': 0, 'rank': 1, 'wrong': False}}"
22,uncorrectable,"(10, 14)",21,0.9998303651809692,4,5,4.4004445920453605e-11,4->21 (both digits),double,"{'type': 'both', 'tens': {'predicted': 2, 'true': 0, 'rank': 5, 'wrong': True}, 'ones': {'predicted': 1, 'true': 4, 'rank': 3, 'wrong': True}}"
22,uncorrectable,"(11, 13)",0,0.7879399955272675,10,2,0.3799899220466614,10->0 (tens: 1->0),double,"{'type': 'tens', 'tens': {'predicted': 0, 'true': 1, 'rank': 2, 'wrong': True}, 'ones': {'predicted': 0, 'true': 0, 'rank': 1, 'wrong': False}}"
22,uncorrectable,"(12, 10)",74,0.877470850944519,14,2,0.23144501447677612,14->74 (tens: 1->7),double,"{'type': 'tens', 'tens': {'predicted': 7, 'true': 1, 'rank': 2, 'wrong': True}, 'ones': {'predicted': 4, 'true': 4, 'rank': 1, 'wrong': False}}"
22,uncorrectable,"(15, 3)",17,0.7156180441379547,11,4,0.131285160779953,11->17 (ones: 1->7),double,"{'type': 'ones', 'tens': {'predicted': 1, 'true': 1, 'rank': 1, 'wrong': False}, 'ones': {'predicted': 7, 'true': 1, 'rank': 4, 'wrong': True}}"
23,none,"(4, 14)",17,0.9607114195823669,11,2,0.07845010608434677,11->17 (ones: 1->7),double,"{'type': 'ones', 'tens': {'predicted': 1, 'true': 1, 'rank': 1, 'wrong': False}, 'ones': {'predicted': 7, 'true': 1, 'rank': 2, 'wrong': True}}"
23,none,"(7, 3)",4,0.8216274380683899,14,5,0.02018873393535614,14->4 (tens: 1->0),double,"{'type': 'tens', 'tens': {'predicted': 0, 'true': 1, 'rank': 5, 'wrong': True}, 'ones': {'predicted': 4, 'true': 4, 'rank': 1, 'wrong': False}}"
23,none,"(14, 6)",75,0.7952995002269745,15,2,0.4047260582447052,15->75 (tens: 1->7),double,"{'type': 'tens', 'tens': {'predicted': 7, 'true': 1, 'rank': 2, 'wrong': True}, 'ones': {'predicted': 5, 'true': 5, 'rank': 1, 'wrong': False}}"
24,single,"(3, 8)",15,0.9851133227348328,13,2,0.029772432520985603,13->15 (ones: 3->5),double,"{'type': 'ones', 'tens': {'predicted': 1, 'true': 1, 'rank': 1, 'wrong': False}, 'ones': {'predicted': 5, 'true': 3, 'rank': 2, 'wrong': True}}"
24,single,"(5, 4)",21,0.9295986890792847,11,4,0.018733946606516838,11->21 (tens: 1->2),double,"{'type': 'tens', 'tens': {'predicted': 2, 'true': 1, 'rank': 4, 'wrong': True}, 'ones': {'predicted': 1, 'true': 1, 'rank': 1, 'wrong': False}}"
24,single,"(9, 4)",74,0.9966315031051636,14,4,0.0008627657662145793,14->74 (tens: 1->7),double,"{'type': 'tens', 'tens': {'predicted': 7, 'true': 1, 'rank': 4, 'wrong': True}, 'ones': {'predicted': 4, 'true': 4, 'rank': 1, 'wrong': False}}"
25,uncorrectable,"(3, 14)",1,0.8790453672409058,6,7,0.0002633336989674717,6->1,single,None
25,uncorrectable,"(10, 9)",75,0.9963738024234772,15,2,0.004705382045358419,15->75 (tens: 1->7),double,"{'type': 'tens', 'tens': {'predicted': 7, 'true': 1, 'rank': 2, 'wrong': True}, 'ones': {'predicted': 5, 'true': 5, 'rank': 1, 'wrong': False}}"
25,uncorrectable,"(13, 1)",74,0.7189969420433044,14,2,0.4124326705932617,14->74 (tens: 1->7),double,"{'type': 'tens', 'tens': {'predicted': 7, 'true': 1, 'rank': 2, 'wrong': True}, 'ones': {'predicted': 4, 'true': 4, 'rank': 1, 'wrong': False}}"
26,uncorrectable,"(0, 9)",75,0.7952995002269745,15,2,0.4047260582447052,15->75 (tens: 1->7),double,"{'type': 'tens', 'tens': {'predicted': 7, 'true': 1, 'rank': 2, 'wrong': True}, 'ones': {'predicted': 5, 'true': 5, 'rank': 1, 'wrong': False}}"
26,uncorrectable,"(5, 9)",94,0.749583438038826,14,3,0.022383537143468857,14->94 (tens: 1->9),double,"{'type': 'tens', 'tens': {'predicted': 9, 'true': 1, 'rank': 3, 'wrong': True}, 'ones': {'predicted': 4, 'true': 4, 'rank': 1, 'wrong': False}}"
26,uncorrectable,"(10, 12)",45,0.8878206610679626,6,7,3.948164711831126e-11,6->45 (both digits),double,"{'type': 'both', 'tens': {'predicted': 4, 'true': 0, 'rank': 7, 'wrong': True}, 'ones': {'predicted': 5, 'true': 6, 'rank': 5, 'wrong': True}}"
26,uncorrectable,"(11, 2)",24,0.9295980334281921,14,4,0.018733946606516838,14->24 (tens: 1->2),double,"{'type': 'tens', 'tens': {'predicted': 2, 'true': 1, 'rank': 4, 'wrong': True}, 'ones': {'predicted': 4, 'true': 4, 'rank': 1, 'wrong': False}}"
27,single,"(0, 5)",17,0.9993058443069458,14,2,0.0013731023063883185,14->17 (ones: 4->7),double,"{'type': 'ones', 'tens': {'predicted': 1, 'true': 1, 'rank': 1, 'wrong': False}, 'ones': {'predicted': 7, 'true': 4, 'rank': 2, 'wrong': True}}"
27,single,"(1, 10)",15,0.997649759054184,13,2,0.004693290684372187,13->15 (ones: 3->5),double,"{'type': 'ones', 'tens': {'predicted': 1, 'true': 1, 'rank': 1, 'wrong': False}, 'ones': {'predicted': 5, 'true': 3, 'rank': 2, 'wrong': True}}"
27,single,"(4, 7)",17,0.9388733804225922,11,2,0.09254184365272522,11->17 (ones: 1->7),double,"{'type': 'ones', 'tens': {'predicted': 1, 'true': 1, 'rank': 1, 'wrong': False}, 'ones': {'predicted': 7, 'true': 1, 'rank': 2, 'wrong': True}}"
27,single,"(13, 5)",71,0.9945261776447296,11,2,0.00968034379184246,11->71 (tens: 1->7),double,"{'type': 'tens', 'tens': {'predicted': 7, 'true': 1, 'rank': 2, 'wrong': True}, 'ones': {'predicted': 1, 'true': 1, 'rank': 1, 'wrong': False}}"
28,single,"(10, 6)",8,0.5869585871696472,6,2,0.38248762488365173,6->8,single,None
28,single,"(11, 5)",72,0.7189980149269104,12,2,0.4124326705932617,12->72 (tens: 1->7),double,"{'type': 'tens', 'tens': {'predicted': 7, 'true': 1, 'rank': 2, 'wrong': True}, 'ones': {'predicted': 2, 'true': 2, 'rank': 1, 'wrong': False}}"
29,none,"(3, 10)",75,0.7189980745315552,15,2,0.4124326705932617,15->75 (tens: 1->7),double,"{'type': 'tens', 'tens': {'predicted': 7, 'true': 1, 'rank': 2, 'wrong': True}, 'ones': {'predicted': 5, 'true': 5, 'rank': 1, 'wrong': False}}"
29,none,"(11, 5)",75,0.908382385969162,15,2,0.10721195489168167,15->75 (tens: 1->7),double,"{'type': 'tens', 'tens': {'predicted': 7, 'true': 1, 'rank': 2, 'wrong': True}, 'ones': {'predicted': 5, 'true': 5, 'rank': 1, 'wrong': False}}"
30,single,"(9, 13)",11,0.8534258902072906,16,3,0.03734105825424194,16->11 (ones: 6->1),double,"{'type': 'ones', 'tens': {'predicted': 1, 'true': 1, 'rank': 1, 'wrong': False}, 'ones': {'predicted': 1, 'true': 6, 'rank': 3, 'wrong': True}}"
31,single,"(5, 9)",12,0.9866803586483002,14,3,0.005000715143978596,14->12 (ones: 4->2),double,"{'type': 'ones', 'tens': {'predicted': 1, 'true': 1, 'rank': 1, 'wrong': False}, 'ones': {'predicted': 2, 'true': 4, 'rank': 3, 'wrong': True}}"
31,single,"(15, 2)",6,0.7879328429698944,16,2,0.3799899220466614,16->6 (tens: 1->0),double,"{'type': 'tens', 'tens': {'predicted': 0, 'true': 1, 'rank': 2, 'wrong': True}, 'ones': {'predicted': 6, 'true': 6, 'rank': 1, 'wrong': False}}"
32,uncorrectable,"(3, 4)",12,0.9986346065998077,16,3,0.00041091724415309727,16->12 (ones: 6->2),double,"{'type': 'ones', 'tens': {'predicted': 1, 'true': 1, 'rank': 1, 'wrong': False}, 'ones': {'predicted': 2, 'true': 6, 'rank': 3, 'wrong': True}}"
32,uncorrectable,"(7, 3)",75,0.8138622045516968,15,2,0.37129396200180054,15->75 (tens: 1->7),double,"{'type': 'tens', 'tens': {'predicted': 7, 'true': 1, 'rank': 2, 'wrong': True}, 'ones': {'predicted': 5, 'true': 5, 'rank': 1, 'wrong': False}}"
32,uncorrectable,"(8, 11)",13,0.9999226927757263,15,2,0.00014723480853717774,15->13 (ones: 5->3),double,"{'type': 'ones', 'tens': {'predicted': 1, 'true': 1, 'rank': 1, 'wrong': False}, 'ones': {'predicted': 3, 'true': 5, 'rank': 2, 'wrong': True}}"
33,two,"(6, 12)",12,0.8373822867870331,10,2,0.30406856536865234,10->12 (ones: 0->2),double,"{'type': 'ones', 'tens': {'predicted': 1, 'true': 1, 'rank': 1, 'wrong': False}, 'ones': {'predicted': 2, 'true': 0, 'rank': 2, 'wrong': True}}"
33,two,"(6, 14)",72,0.9999175071716309,12,2,0.00014206941705197096,12->72 (tens: 1->7),double,"{'type': 'tens', 'tens': {'predicted': 7, 'true': 1, 'rank': 2, 'wrong': True}, 'ones': {'predicted': 2, 'true': 2, 'rank': 1, 'wrong': False}}"
33,two,"(9, 11)",70,0.9372117817401886,10,2,0.00014206941705197096,10->70 (tens: 1->7),double,"{'type': 'tens', 'tens': {'predicted': 7, 'true': 1, 'rank': 2, 'wrong': True}, 'ones': {'predicted': 0, 'true': 0, 'rank': 1, 'wrong': False}}"
33,two,"(12, 11)",12,0.905317097902298,13,2,0.18524952232837677,13->12 (ones: 3->2),double,"{'type': 'ones', 'tens': {'predicted': 1, 'true': 1, 'rank': 1, 'wrong': False}, 'ones': {'predicted': 2, 'true': 3, 'rank': 2, 'wrong': True}}"
33,two,"(14, 5)",72,0.7565298676490784,12,2,0.30917301774024963,12->72 (tens: 1->7),double,"{'type': 'tens', 'tens': {'predicted': 7, 'true': 1, 'rank': 2, 'wrong': True}, 'ones': {'predicted': 2, 'true': 2, 'rank': 1, 'wrong': False}}"
34,none,"(1, 9)",71,0.8138622045516968,11,2,0.37129396200180054,11->71 (tens: 1->7),double,"{'type': 'tens', 'tens': {'predicted': 7, 'true': 1, 'rank': 2, 'wrong': True}, 'ones': {'predicted': 1, 'true': 1, 'rank': 1, 'wrong': False}}"
35,none,"(6, 2)",20,0.9295986890792847,10,4,0.018733946606516838,10->20 (tens: 1->2),double,"{'type': 'tens', 'tens': {'predicted': 2, 'true': 1, 'rank': 4, 'wrong': True}, 'ones': {'predicted': 0, 'true': 0, 'rank': 1, 'wrong': False}}"
35,none,"(11, 13)",17,0.999305784702301,14,2,0.0013731023063883185,14->17 (ones: 4->7),double,"{'type': 'ones', 'tens': {'predicted': 1, 'true': 1, 'rank': 1, 'wrong': False}, 'ones': {'predicted': 7, 'true': 4, 'rank': 2, 'wrong': True}}"
36,none,"(9, 8)",73,0.8625792264938354,13,2,0.25391876697540283,13->73 (tens: 1->7),double,"{'type': 'tens', 'tens': {'predicted': 7, 'true': 1, 'rank': 2, 'wrong': True}, 'ones': {'predicted': 3, 'true': 3, 'rank': 1, 'wrong': False}}"
37,none,"(6, 7)",7,0.7603249549865723,9,2,0.17323017120361328,9->7,single,None
38,uncorrectable,"(2, 5)",72,0.8774834275245667,12,2,0.23144501447677612,12->72 (tens: 1->7),double,"{'type': 'tens', 'tens': {'predicted': 7, 'true': 1, 'rank': 2, 'wrong': True}, 'ones': {'predicted': 2, 'true': 2, 'rank': 1, 'wrong': False}}"
38,uncorrectable,"(3, 2)",53,0.99657142162323,5,9,1.2370658696633091e-14,5->53 (both digits),double,"{'type': 'both', 'tens': {'predicted': 5, 'true': 0, 'rank': 9, 'wrong': True}, 'ones': {'predicted': 3, 'true': 5, 'rank': 5, 'wrong': True}}"
38,uncorrectable,"(7, 14)",57,0.9999996423721313,7,9,2.139547870469438e-12,7->57 (tens: 0->5),double,"{'type': 'tens', 'tens': {'predicted': 5, 'true': 0, 'rank': 9, 'wrong': True}, 'ones': {'predicted': 7, 'true': 7, 'rank': 1, 'wrong': False}}"
38,uncorrectable,"(12, 11)",19,0.9194681942462921,15,2,0.15637488663196564,15->19 (ones: 5->9),double,"{'type': 'ones', 'tens': {'predicted': 1, 'true': 1, 'rank': 1, 'wrong': False}, 'ones': {'predicted': 9, 'true': 5, 'rank': 2, 'wrong': True}}"
38,uncorrectable,"(13, 9)",13,0.7735487222671509,12,2,0.45204511284828186,12->13 (ones: 2->3),double,"{'type': 'ones', 'tens': {'predicted': 1, 'true': 1, 'rank': 1, 'wrong': False}, 'ones': {'predicted': 3, 'true': 2, 'rank': 2, 'wrong': True}}"
38,uncorrectable,"(14, 10)",1,0.761813223361969,7,2,0.23776011168956757,7->1,single,None
39,two,"(9, 6)",6,0.94660884141922,16,2,0.07794619351625443,16->6 (tens: 1->0),double,"{'type': 'tens', 'tens': {'predicted': 0, 'true': 1, 'rank': 2, 'wrong': True}, 'ones': {'predicted': 6, 'true': 6, 'rank': 1, 'wrong': False}}"
39,two,"(10, 6)",1,0.5226033329963684,7,3,0.18149259686470032,7->1,single,None
